elements,blocks,threadsPerBlock,GPU
10000000, 512, 100, 0.003869
10000000, 512, 128, 0.004704
10000000, 512, 200, 0.005845
10000000, 512, 256, 0.007357
10000000, 512, 400, 0.010513
10000000, 512, 512, 0.013043
10000000, 512, 750, 0.017703
10000000, 512, 1024, 0.024196
10000000, 1024, 32, 0.002794
10000000, 1024, 50, 0.003778
10000000, 1024, 64, 0.005026
10000000, 1024, 100, 0.006442
10000000, 1024, 128, 0.007726
10000000, 1024, 200, 0.010609
10000000, 1024, 256, 0.013902
10000000, 1024, 400, 0.019772
10000000, 1024, 512, 0.025441
10000000, 1024, 750, 0.035858
10000000, 1024, 1024, 0.042870
10000000, 2048, 32, 0.000517
10000000, 2048, 50, 0.000518
10000000, 2048, 64, 0.000536
10000000, 2048, 100, 0.000516
10000000, 2048, 128, 0.000519
10000000, 2048, 200, 0.000521
10000000, 2048, 256, 0.000516
10000000, 2048, 400, 0.000522
10000000, 2048, 512, 0.000518
10000000, 2048, 750, 0.000518
10000000, 2048, 1024, 0.000521
10000000, 4096, 32, 0.000521
10000000, 4096, 50, 0.000523
10000000, 4096, 64, 0.000522
10000000, 4096, 100, 0.000522
10000000, 4096, 128, 0.000521
10000000, 4096, 200, 0.000531
10000000, 4096, 256, 0.000543
10000000, 4096, 400, 0.000525
10000000, 4096, 512, 0.000529
10000000, 4096, 750, 0.000526
10000000, 4096, 1024, 0.000521
10000000, 8192, 32, 0.000532
10000000, 8192, 50, 0.000512
10000000, 8192, 64, 0.000540
10000000, 8192, 100, 0.000520
10000000, 8192, 128, 0.000520
10000000, 8192, 200, 0.000524
10000000, 8192, 256, 0.000529
10000000, 8192, 400, 0.000528
10000000, 8192, 512, 0.000526
10000000, 8192, 750, 0.000519
10000000, 8192, 1024, 0.000541
10000000, 16384, 32, 0.000514
10000000, 16384, 50, 0.000524
10000000, 16384, 64, 0.000521
10000000, 16384, 100, 0.000523
10000000, 16384, 128, 0.000521
10000000, 16384, 200, 0.000517
10000000, 16384, 256, 0.000521
10000000, 16384, 400, 0.000516
10000000, 16384, 512, 0.000530
10000000, 16384, 750, 0.000529
10000000, 16384, 1024, 0.000525
10000000, 32768, 32, 0.000524
10000000, 32768, 50, 0.000521
10000000, 32768, 64, 0.000526
10000000, 32768, 100, 0.000516
10000000, 32768, 128, 0.000524
10000000, 32768, 200, 0.000514
10000000, 32768, 256, 0.000514
10000000, 32768, 400, 0.000529
10000000, 32768, 512, 0.000530
10000000, 32768, 750, 0.000524
10000000, 32768, 1024, 0.000521
10000000, 32, 32, 0.001200
10000000, 32, 50, 0.001070
10000000, 32, 64, 0.001051
10000000, 32, 100, 0.001011
10000000, 32, 128, 0.001033
10000000, 32, 200, 0.001052
10000000, 32, 256, 0.001116
10000000, 32, 400, 0.001313
10000000, 32, 512, 0.001515
10000000, 32, 750, 0.001783
10000000, 32, 1024, 0.002302
10000000, 64, 32, 0.001072
10000000, 64, 50, 0.001007
10000000, 64, 64, 0.001028
10000000, 64, 100, 0.001024
10000000, 64, 128, 0.001115
10000000, 64, 200, 0.001296
10000000, 64, 256, 0.001504
10000000, 64, 400, 0.002033
10000000, 64, 512, 0.002418
10000000, 64, 750, 0.003297
10000000, 64, 1024, 0.004076
10000000, 128, 32, 0.001024
10000000, 128, 50, 0.001033
10000000, 128, 64, 0.001087
10000000, 128, 100, 0.001315
10000000, 128, 128, 0.001487
10000000, 128, 200, 0.002047
10000000, 128, 256, 0.002284
10000000, 128, 400, 0.003418
10000000, 128, 512, 0.004331
10000000, 128, 750, 0.004840
10000000, 128, 1024, 0.006038
10000000, 256, 32, 0.001117
10000000, 256, 50, 0.001253
10000000, 256, 64, 0.001510
10000000, 256, 100, 0.001834
10000000, 256, 128, 0.002302
10000000, 256, 200, 0.003406
10000000, 256, 256, 0.004258
10000000, 256, 400, 0.005117
10000000, 256, 512, 0.006265
10000000, 256, 750, 0.008285
10000000, 256, 1024, 0.011244
10000000, 512, 32, 0.001487
10000000, 512, 50, 0.001953
10000000, 512, 64, 0.002310
10000000, 512, 100, 0.003389
10000000, 512, 128, 0.004362
10000000, 512, 200, 0.005108
10000000, 512, 256, 0.006563
10000000, 512, 400, 0.009054
10000000, 512, 512, 0.011292
10000000, 512, 750, 0.015495
10000000, 512, 1024, 0.020675
10000000, 1024, 32, 0.002487
10000000, 1024, 50, 0.003371
10000000, 1024, 64, 0.004391
10000000, 1024, 100, 0.005658
10000000, 1024, 128, 0.006728
10000000, 1024, 200, 0.009600
10000000, 1024, 256, 0.012349
10000000, 1024, 400, 0.017182
10000000, 1024, 512, 0.021665
10000000, 1024, 750, 0.031106
10000000, 1024, 1024, 0.042310
10000000, 2048, 32, 0.000535
10000000, 2048, 50, 0.000516
10000000, 2048, 64, 0.000523
10000000, 2048, 100, 0.000523
10000000, 2048, 128, 0.000520
10000000, 2048, 200, 0.000516
10000000, 2048, 256, 0.000523
10000000, 2048, 400, 0.000525
10000000, 2048, 512, 0.000525
10000000, 2048, 750, 0.000517
10000000, 2048, 1024, 0.000529
10000000, 4096, 32, 0.000527
10000000, 4096, 50, 0.000520
10000000, 4096, 64, 0.000527
10000000, 4096, 100, 0.000519
10000000, 4096, 128, 0.000525
10000000, 4096, 200, 0.000517
10000000, 4096, 256, 0.000524
10000000, 4096, 400, 0.000509
10000000, 4096, 512, 0.000524
10000000, 4096, 750, 0.000518
10000000, 4096, 1024, 0.000519
10000000, 8192, 32, 0.000517
10000000, 8192, 50, 0.000527
10000000, 8192, 64, 0.000517
10000000, 8192, 100, 0.000529
10000000, 8192, 128, 0.000525
10000000, 8192, 200, 0.000519
10000000, 8192, 256, 0.000524
10000000, 8192, 400, 0.000531
10000000, 8192, 512, 0.000518
10000000, 8192, 750, 0.000518
10000000, 8192, 1024, 0.000532
10000000, 16384, 32, 0.000523
10000000, 16384, 50, 0.000518
10000000, 16384, 64, 0.000516
10000000, 16384, 100, 0.000521
10000000, 16384, 128, 0.000518
10000000, 16384, 200, 0.000526
10000000, 16384, 256, 0.000535
10000000, 16384, 400, 0.000522
10000000, 16384, 512, 0.000535
10000000, 16384, 750, 0.000526
10000000, 16384, 1024, 0.000525
10000000, 32768, 32, 0.000526
10000000, 32768, 50, 0.000521
10000000, 32768, 64, 0.000535
10000000, 32768, 100, 0.000524
10000000, 32768, 128, 0.000540
10000000, 32768, 200, 0.000518
10000000, 32768, 256, 0.000517
10000000, 32768, 400, 0.000518
10000000, 32768, 512, 0.000515
10000000, 32768, 750, 0.000537
10000000, 32768, 1024, 0.000523
10000000, 32, 32, 0.001209
10000000, 32, 50, 0.001079
10000000, 32, 64, 0.001029
10000000, 32, 100, 0.001008
10000000, 32, 128, 0.001029
10000000, 32, 200, 0.001085
10000000, 32, 256, 0.001102
10000000, 32, 400, 0.001284
10000000, 32, 512, 0.001495
10000000, 32, 750, 0.001942
10000000, 32, 1024, 0.002269
10000000, 64, 32, 0.001051
10000000, 64, 50, 0.001009
10000000, 64, 64, 0.001046
10000000, 64, 100, 0.001038
10000000, 64, 128, 0.001089
10000000, 64, 200, 0.001284
10000000, 64, 256, 0.001481
10000000, 64, 400, 0.001974
10000000, 64, 512, 0.002459
10000000, 64, 750, 0.003137
10000000, 64, 1024, 0.004135
10000000, 128, 32, 0.001055
10000000, 128, 50, 0.001051
10000000, 128, 64, 0.001113
10000000, 128, 100, 0.001291
10000000, 128, 128, 0.001499
10000000, 128, 200, 0.001985
10000000, 128, 256, 0.002400
10000000, 128, 400, 0.003341
10000000, 128, 512, 0.004036
10000000, 128, 750, 0.004835
10000000, 128, 1024, 0.006275
10000000, 256, 32, 0.001139
10000000, 256, 50, 0.001273
10000000, 256, 64, 0.001466
10000000, 256, 100, 0.001902
10000000, 256, 128, 0.002399
10000000, 256, 200, 0.003361
10000000, 256, 256, 0.004045
10000000, 256, 400, 0.005036
10000000, 256, 512, 0.006152
10000000, 256, 750, 0.008569
10000000, 256, 1024, 0.011194
10000000, 512, 32, 0.001546
10000000, 512, 50, 0.001934
10000000, 512, 64, 0.002302
10000000, 512, 100, 0.003396
10000000, 512, 128, 0.004070
10000000, 512, 200, 0.005463
10000000, 512, 256, 0.006629
10000000, 512, 400, 0.008973
10000000, 512, 512, 0.011504
10000000, 512, 750, 0.015606
10000000, 512, 1024, 0.020733
10000000, 1024, 32, 0.002393
10000000, 1024, 50, 0.003625
10000000, 1024, 64, 0.004466
10000000, 1024, 100, 0.005853
10000000, 1024, 128, 0.006753
10000000, 1024, 200, 0.009676
10000000, 1024, 256, 0.012096
10000000, 1024, 400, 0.017129
10000000, 1024, 512, 0.022036
10000000, 1024, 750, 0.030784
10000000, 1024, 1024, 0.042268
10000000, 2048, 32, 0.000518
10000000, 2048, 50, 0.000520
10000000, 2048, 64, 0.000523
10000000, 2048, 100, 0.000513
10000000, 2048, 128, 0.000518
10000000, 2048, 200, 0.000522
10000000, 2048, 256, 0.000517
10000000, 2048, 400, 0.000515
10000000, 2048, 512, 0.000518
10000000, 2048, 750, 0.000517
10000000, 2048, 1024, 0.000519
10000000, 4096, 32, 0.000523
10000000, 4096, 50, 0.000532
10000000, 4096, 64, 0.000524
10000000, 4096, 100, 0.000525
10000000, 4096, 128, 0.000517
10000000, 4096, 200, 0.000520
10000000, 4096, 256, 0.000522
10000000, 4096, 400, 0.000532
10000000, 4096, 512, 0.000520
10000000, 4096, 750, 0.000519
10000000, 4096, 1024, 0.000513
10000000, 8192, 32, 0.000525
10000000, 8192, 50, 0.000516
10000000, 8192, 64, 0.000525
10000000, 8192, 100, 0.000516
10000000, 8192, 128, 0.000522
10000000, 8192, 200, 0.000529
10000000, 8192, 256, 0.000518
10000000, 8192, 400, 0.000522
10000000, 8192, 512, 0.000520
10000000, 8192, 750, 0.000520
10000000, 8192, 1024, 0.000524
10000000, 16384, 32, 0.000515
10000000, 16384, 50, 0.000521
10000000, 16384, 64, 0.000531
10000000, 16384, 100, 0.000519
10000000, 16384, 128, 0.000539
10000000, 16384, 200, 0.000524
10000000, 16384, 256, 0.000526
10000000, 16384, 400, 0.000525
10000000, 16384, 512, 0.000527
10000000, 16384, 750, 0.000527
10000000, 16384, 1024, 0.000539
10000000, 32768, 32, 0.000520
10000000, 32768, 50, 0.000522
10000000, 32768, 64, 0.000528
10000000, 32768, 100, 0.000519
10000000, 32768, 128, 0.000520
10000000, 32768, 200, 0.000516
10000000, 32768, 256, 0.000537
10000000, 32768, 400, 0.000523
10000000, 32768, 512, 0.000537
10000000, 32768, 750, 0.000520
10000000, 32768, 1024, 0.000531
10000000, 32, 32, 0.001296
10000000, 32, 50, 0.001153
10000000, 32, 64, 0.001110
10000000, 32, 100, 0.001061
10000000, 32, 128, 0.001120
10000000, 32, 200, 0.001154
10000000, 32, 256, 0.001215
10000000, 32, 400, 0.001434
10000000, 32, 512, 0.001710
10000000, 32, 750, 0.002078
10000000, 32, 1024, 0.002446
10000000, 64, 32, 0.001120
10000000, 64, 50, 0.001065
10000000, 64, 64, 0.001126
10000000, 64, 100, 0.001097
