elements,blocks,threadsPerBlock,GPU,total global memory(KB),clock rate(KHz),multiprocessor count,async engine count,memory bus width,memory clock rate (KHz),L2 cache size (bytes),max threads per SM
10000,4096,256,0.028692,11268608,1635000,68,3,352,7000000,5767168,1024
10000,4096,400,0.039525,11268608,1635000,68,3,352,7000000,5767168,1024
10000,4096,512,0.048166,11268608,1635000,68,3,352,7000000,5767168,1024
10000,4096,750,0.039366,11268608,1635000,68,3,352,7000000,5767168,1024
10000,4096,1024,0.051168,11268608,1635000,68,3,352,7000000,5767168,1024
10000,8192,32,0.015727,11268608,1635000,68,3,352,7000000,5767168,1024
10000,8192,50,0.016672,11268608,1635000,68,3,352,7000000,5767168,1024
10000,8192,64,0.017745,11268608,1635000,68,3,352,7000000,5767168,1024
10000,8192,100,0.017801,11268608,1635000,68,3,352,7000000,5767168,1024
10000,8192,128,0.014852,11268608,1635000,68,3,352,7000000,5767168,1024
10000,8192,200,0.023209,11268608,1635000,68,3,352,7000000,5767168,1024
10000,8192,256,0.027446,11268608,1635000,68,3,352,7000000,5767168,1024
10000,8192,400,0.034747,11268608,1635000,68,3,352,7000000,5767168,1024
10000,8192,512,0.054288,11268608,1635000,68,3,352,7000000,5767168,1024
10000,8192,750,0.041428,11268608,1635000,68,3,352,7000000,5767168,1024
10000,8192,1024,0.055293,11268608,1635000,68,3,352,7000000,5767168,1024
10000,16384,32,0.013718,11268608,1635000,68,3,352,7000000,5767168,1024
10000,16384,50,0.017531,11268608,1635000,68,3,352,7000000,5767168,1024
10000,16384,64,0.017114,11268608,1635000,68,3,352,7000000,5767168,1024
10000,16384,100,0.016354,11268608,1635000,68,3,352,7000000,5767168,1024
10000,16384,128,0.015521,11268608,1635000,68,3,352,7000000,5767168,1024
10000,16384,200,0.021681,11268608,1635000,68,3,352,7000000,5767168,1024
10000,16384,256,0.027141,11268608,1635000,68,3,352,7000000,5767168,1024
10000,16384,400,0.034487,11268608,1635000,68,3,352,7000000,5767168,1024
10000,16384,512,0.045037,11268608,1635000,68,3,352,7000000,5767168,1024
10000,16384,750,0.039269,11268608,1635000,68,3,352,7000000,5767168,1024
10000,16384,1024,0.056138,11268608,1635000,68,3,352,7000000,5767168,1024
10000,32768,32,0.01393,11268608,1635000,68,3,352,7000000,5767168,1024
10000,32768,50,0.018831,11268608,1635000,68,3,352,7000000,5767168,1024
10000,32768,64,0.021572,11268608,1635000,68,3,352,7000000,5767168,1024
10000,32768,100,0.021248,11268608,1635000,68,3,352,7000000,5767168,1024
10000,32768,128,0.017816,11268608,1635000,68,3,352,7000000,5767168,1024
10000,32768,200,0.033443,11268608,1635000,68,3,352,7000000,5767168,1024
10000,32768,256,0.030865,11268608,1635000,68,3,352,7000000,5767168,1024
10000,32768,400,0.049733,11268608,1635000,68,3,352,7000000,5767168,1024
10000,32768,512,0.048545,11268608,1635000,68,3,352,7000000,5767168,1024
10000,32768,750,0.040783,11268608,1635000,68,3,352,7000000,5767168,1024
10000,32768,1024,0.055024,11268608,1635000,68,3,352,7000000,5767168,1024
50000,32,32,2.018697,11268608,1635000,68,3,352,7000000,5767168,1024
50000,32,50,1.374135,11268608,1635000,68,3,352,7000000,5767168,1024
50000,32,64,1.078801,11268608,1635000,68,3,352,7000000,5767168,1024
50000,32,100,0.820711,11268608,1635000,68,3,352,7000000,5767168,1024
50000,32,128,0.665289,11268608,1635000,68,3,352,7000000,5767168,1024
50000,32,200,0.516643,11268608,1635000,68,3,352,7000000,5767168,1024
50000,32,256,0.512133,11268608,1635000,68,3,352,7000000,5767168,1024
50000,32,400,0.48015,11268608,1635000,68,3,352,7000000,5767168,1024
50000,32,512,0.573071,11268608,1635000,68,3,352,7000000,5767168,1024
50000,32,750,0.658196,11268608,1635000,68,3,352,7000000,5767168,1024
50000,32,1024,0.567679,11268608,1635000,68,3,352,7000000,5767168,1024
50000,64,32,0.974517,11268608,1635000,68,3,352,7000000,5767168,1024
50000,64,50,0.633677,11268608,1635000,68,3,352,7000000,5767168,1024
50000,64,64,0.525819,11268608,1635000,68,3,352,7000000,5767168,1024
50000,64,100,0.372907,11268608,1635000,68,3,352,7000000,5767168,1024
50000,64,128,0.335087,11268608,1635000,68,3,352,7000000,5767168,1024
50000,64,200,0.246767,11268608,1635000,68,3,352,7000000,5767168,1024
50000,64,256,0.281223,11268608,1635000,68,3,352,7000000,5767168,1024
50000,64,400,0.225774,11268608,1635000,68,3,352,7000000,5767168,1024
50000,64,512,0.274736,11268608,1635000,68,3,352,7000000,5767168,1024
50000,64,750,0.414594,11268608,1635000,68,3,352,7000000,5767168,1024
50000,64,1024,0.291175,11268608,1635000,68,3,352,7000000,5767168,1024
50000,128,32,0.474548,11268608,1635000,68,3,352,7000000,5767168,1024
50000,128,50,0.36145,11268608,1635000,68,3,352,7000000,5767168,1024
50000,128,64,0.346139,11268608,1635000,68,3,352,7000000,5767168,1024
50000,128,100,0.297855,11268608,1635000,68,3,352,7000000,5767168,1024
50000,128,128,0.294453,11268608,1635000,68,3,352,7000000,5767168,1024
50000,128,200,0.260561,11268608,1635000,68,3,352,7000000,5767168,1024
50000,128,256,0.230245,11268608,1635000,68,3,352,7000000,5767168,1024
50000,128,400,0.243047,11268608,1635000,68,3,352,7000000,5767168,1024
50000,128,512,0.278564,11268608,1635000,68,3,352,7000000,5767168,1024
50000,128,750,0.24227,11268608,1635000,68,3,352,7000000,5767168,1024
50000,128,1024,0.326028,11268608,1635000,68,3,352,7000000,5767168,1024
50000,256,32,0.357821,11268608,1635000,68,3,352,7000000,5767168,1024
50000,256,50,0.298087,11268608,1635000,68,3,352,7000000,5767168,1024
50000,256,64,0.292103,11268608,1635000,68,3,352,7000000,5767168,1024
50000,256,100,0.295887,11268608,1635000,68,3,352,7000000,5767168,1024
50000,256,128,0.235155,11268608,1635000,68,3,352,7000000,5767168,1024
