elements,blocks,threadsPerBlock,GPU
100000, 1024, 750, 0.334786
100000, 1024, 1024, 0.330415
100000, 2048, 32, 0.312016
100000, 2048, 50, 0.363949
100000, 2048, 64, 0.288573
100000, 2048, 100, 0.335036
100000, 2048, 128, 0.283430
100000, 2048, 200, 0.313558
100000, 2048, 256, 0.286120
100000, 2048, 400, 0.317577
100000, 2048, 512, 0.296258
100000, 2048, 750, 0.335361
100000, 2048, 1024, 0.329652
100000, 4096, 32, 0.283383
100000, 4096, 50, 0.364969
100000, 4096, 64, 0.289474
100000, 4096, 100, 0.338266
100000, 4096, 128, 0.293001
100000, 4096, 200, 0.316374
100000, 4096, 256, 0.289471
100000, 4096, 400, 0.318391
100000, 4096, 512, 0.296182
100000, 4096, 750, 0.335266
100000, 4096, 1024, 0.330377
100000, 8192, 32, 0.283103
100000, 8192, 50, 0.380414
100000, 8192, 64, 0.296857
100000, 8192, 100, 0.342007
100000, 8192, 128, 0.286147
100000, 8192, 200, 0.314906
100000, 8192, 256, 0.284433
100000, 8192, 400, 0.318034
100000, 8192, 512, 0.296352
100000, 8192, 750, 0.334772
100000, 8192, 1024, 0.330203
100000, 16384, 32, 0.285476
100000, 16384, 50, 0.380542
100000, 16384, 64, 0.297775
100000, 16384, 100, 0.339972
100000, 16384, 128, 0.285191
100000, 16384, 200, 0.314294
100000, 16384, 256, 0.284069
100000, 16384, 400, 0.318225
100000, 16384, 512, 0.296408
100000, 16384, 750, 0.334737
100000, 16384, 1024, 0.330401
100000, 32768, 32, 0.285359
100000, 32768, 50, 0.378672
100000, 32768, 64, 0.290403
100000, 32768, 100, 0.337938
100000, 32768, 128, 0.289543
100000, 32768, 200, 0.314984
100000, 32768, 256, 0.286622
100000, 32768, 400, 0.317656
100000, 32768, 512, 0.296147
100000, 32768, 750, 0.335069
100000, 32768, 1024, 0.330627
100000, 512, 32, 0.544035
100000, 512, 50, 0.383381
100000, 512, 64, 0.375495
100000, 512, 100, 0.330603
