elements,blocks,threadsPerBlock,GPU,total global memory(KB),clock rate(KHz),multiprocessor count,async engine count,memory bus width,memory clock rate (KHz),L2 cache size (bytes),max threads per SM
10000,4096,256,0.00041,11268608,1635000,68,3,352,7000000,5767168,1024
10000,4096,400,0.00055,11268608,1635000,68,3,352,7000000,5767168,1024
10000,4096,512,0.000563,11268608,1635000,68,3,352,7000000,5767168,1024
10000,4096,750,0.000495,11268608,1635000,68,3,352,7000000,5767168,1024
10000,4096,1024,0.000617,11268608,1635000,68,3,352,7000000,5767168,1024
10000,8192,32,0.000637,11268608,1635000,68,3,352,7000000,5767168,1024
10000,8192,50,0.000633,11268608,1635000,68,3,352,7000000,5767168,1024
10000,8192,64,0.000594,11268608,1635000,68,3,352,7000000,5767168,1024
10000,8192,100,0.000477,11268608,1635000,68,3,352,7000000,5767168,1024
10000,8192,128,0.000451,11268608,1635000,68,3,352,7000000,5767168,1024
10000,8192,200,0.000584,11268608,1635000,68,3,352,7000000,5767168,1024
10000,8192,256,0.000567,11268608,1635000,68,3,352,7000000,5767168,1024
10000,8192,400,0.000613,11268608,1635000,68,3,352,7000000,5767168,1024
10000,8192,512,0.000623,11268608,1635000,68,3,352,7000000,5767168,1024
10000,8192,750,0.000591,11268608,1635000,68,3,352,7000000,5767168,1024
10000,8192,1024,0.000537,11268608,1635000,68,3,352,7000000,5767168,1024
10000,16384,32,0.000595,11268608,1635000,68,3,352,7000000,5767168,1024
10000,16384,50,0.000543,11268608,1635000,68,3,352,7000000,5767168,1024
10000,16384,64,0.000496,11268608,1635000,68,3,352,7000000,5767168,1024
10000,16384,100,0.000518,11268608,1635000,68,3,352,7000000,5767168,1024
10000,16384,128,0.000525,11268608,1635000,68,3,352,7000000,5767168,1024
10000,16384,200,0.000594,11268608,1635000,68,3,352,7000000,5767168,1024
10000,16384,256,0.000567,11268608,1635000,68,3,352,7000000,5767168,1024
10000,16384,400,0.000557,11268608,1635000,68,3,352,7000000,5767168,1024
10000,16384,512,0.00055,11268608,1635000,68,3,352,7000000,5767168,1024
10000,16384,750,0.000712,11268608,1635000,68,3,352,7000000,5767168,1024
10000,16384,1024,0.0007,11268608,1635000,68,3,352,7000000,5767168,1024
10000,32768,32,0.00065,11268608,1635000,68,3,352,7000000,5767168,1024
10000,32768,50,0.000614,11268608,1635000,68,3,352,7000000,5767168,1024
10000,32768,64,0.000627,11268608,1635000,68,3,352,7000000,5767168,1024
10000,32768,100,0.000466,11268608,1635000,68,3,352,7000000,5767168,1024
10000,32768,128,0.00053,11268608,1635000,68,3,352,7000000,5767168,1024
10000,32768,200,0.00051,11268608,1635000,68,3,352,7000000,5767168,1024
10000,32768,256,0.000647,11268608,1635000,68,3,352,7000000,5767168,1024
10000,32768,400,0.000621,11268608,1635000,68,3,352,7000000,5767168,1024
10000,32768,512,0.000639,11268608,1635000,68,3,352,7000000,5767168,1024
10000,32768,750,0.000685,11268608,1635000,68,3,352,7000000,5767168,1024
10000,32768,1024,0.000605,11268608,1635000,68,3,352,7000000,5767168,1024
50000,32,32,0.000708,11268608,1635000,68,3,352,7000000,5767168,1024
50000,32,50,0.000539,11268608,1635000,68,3,352,7000000,5767168,1024
50000,32,64,0.000749,11268608,1635000,68,3,352,7000000,5767168,1024
50000,32,100,0.000601,11268608,1635000,68,3,352,7000000,5767168,1024
50000,32,128,0.000683,11268608,1635000,68,3,352,7000000,5767168,1024
